VENDOR_DL,Name1,GST Reg. No.
AIRASIA,AIRASIA,29AALCA4699P1ZJ
AIRASIA AP,AIRASIA INDIA LTD,37AALCA4699P1ZM
AIRASIA AS,AIRASIA INDIA LTD,18AALCA4699P1ZM
AIRASIA DL,AIRASIA INDIA LTD,07AALCA4699P1ZP
AIRASIA GJ,AIRASIA INDIA LTD,24AALCA4699P1ZT
AIRASIA GO,AIRASIA INDIA LTD,30AALCA4699P2ZZ
AIRASIA JH,AIRASIA INDIA LTD,20AALCA4699P1Z1
AIRASIA KL,AIRASIA INDIA LTD,32AALCA4699P1ZW
AIRASIA MA,AIRASIA INDIA LTD,14AALCA4699P1ZU
AIRASIA MH,AIRASIA INDIA LTD,27AALCA4699P1ZN
AIRASIA MP,AIRASIA INDIA LTD,23AALCA4699P1ZV
AIRASIA OD,AIRASIA INDIA LTD,21AALCA4699P1ZZ
AIRASIA PJ,AIRASIA INDIA LTD,03AALCA4699P1ZX
AIRASIA RJ,AIRASIA INDIA LTD,08AALCA4699P1ZN
AIRASIA TG,AIRASIA INDIA LTD,36AALCA4699P1ZO
AIRASIA TN,AIRASIA INDIA LTD,33AALCA4699P1ZU
AIRASIA WB,AIRASIA INDIA LTD,19AALCA4699P1ZK
AIRIND AP,AIR INDIA LTD,37AACCN6194P2ZN
AIRIND AS,AIR INDIA LTD,18AACCN6194P1ZO
AIRIND CH,AIR INDIA LTD,22AACCN6194P1ZZ
AIRIND GJ,AIR INDIA LTD,24AACCN6194P1ZV
AIRIND GO,AIR INDIA LTD,30AACCN6194P1Z2
AIRIND JK,AIR INDIA LTD,01AACCN6194P1Z3
AIRIND KL,AIR INDIA LTD,32AACCN6194P1ZY
AIRIND KR,AIR INDIA LTD,29AACCN6194P2ZK
AIRIND MH,AIR INDIA LTD,27AACCN6194P1ZP
AIRIND MN,AIR INDIA LTD,14AACCN6194P1ZW
AIRIND MP,AIR INDIA LTD,23AACCN6194P1ZX
AIRIND MZ,AIR INDIA LTD,15AACCN6194P1ZU
AIRIND ND,AIR INDIA LTD,07AACCN6194P2ZQ
AIRIND OD,AIR INDIA LTD,21AACCN6194P1Z1
AIRIND PJ,AIR INDIA LTD,03AACCN6194P1ZZ
AIRIND RJ,AIR INDIA LTD,08AACCN6194P1ZP
AIRIND TG,AIR INDIA LTD,36AACCN6194P2ZP
AIRIND TN,AIR INDIA LTD,33AACCN6194P2ZV
AIRIND UP,AIR INDIA LTD,09AACCN6194P1ZN
AIRIND WB,AIR INDIA LTD,19AACCN6194P1ZM
AIRLINE AP,AIRLINE ALLIED SERVICES LIMITED,37AAACA1517B1ZF
AIRLINE DI,Airline Allied Services Limited,18AAACA1517B1ZF
AIRLINE DL,AIRLINE ALLIED SERVICES LIMITED,07AAACA1517B1ZI
AIRLINE JH,AIRLINE ALLIED SERVICES LIMITED,20AAACA1517B1ZU
AIRLINE JK,Airline Allied Services Limited,01AAACA1517B1ZU
AIRLINE KA,AIRLINE ALLIED SERVICES LIMITED,29AAACA1517B1ZC
AIRLINE MH,AIRLINE ALLIED SERVICES LIMITED,27AAACA1517B1ZG
AIRLINE MP,AIRLINE ALLIED SERVICES LIMITED,23AAACA1517B1ZO
AIRLINE OR,AIRLINE ALLIED SERVICES LIMITED,21AAACA1517B1ZS
AIRLINE PJ,AIRLINE ALLIED SERVICES LIMITED,03AAACA1517B1ZQ
AIRLINE RJ,AIRLINE ALLIED SERVICES LIMITED,08AAACA1517B1ZG
AIRLINE TG,AIRLINE ALLIED SERVICES LIMITED,36AAACA1517B1ZH
AIRLINE UP,AIRLINE ALLIED SERVICES LIMITED,09AAACA1517B1ZE
AIRLINE WB,AIRLINE ALLIED SERVICES LIMITED,19AAACA1517B1ZD
CATHAY,CATHAY PACIFIC AIRWAYS LTD,29AABCC5644E1ZR
ETIHAD KA,ETIHAD AIRWAYS,29AABCE6624L1ZC
GOAIR AP,GO AIRLINES INDIA LTD,36AACCG2599K1CH
GOAIR AS,GO AIRLINES INDIA LTD,18AACCG2599K1Z4
GOAIR BR,GO AIRLINES INDIA LTD,10AACCG2599K1ZK
GOAIR CH,GO AIRLINES INDIA LTD,03AACCG2599K1ZF
GOAIR DL,GO AIRLINES INDIA LTD,07AACCG2599K1Z7
GOAIR GA,GO AIRLINES INDIA LTD,30AACCG2599K1ZI
GOAIR GJ,GO AIRLINES INDIA LTD,24AACCG2599K1ZB
GOAIR JH,GO AIRLINES INDIA LTD,20AACCG2599K1ZJ
GOAIR JK,GO AIRLINES INDIA LTD,01AACCG2599K1ZJ
